line no	 token no		 token		 lexeme

      1	      0		Special Symbols		  #
      1	      1		Variables	        include
      1	      2		Variables	          stdio
      1	      3		Variables	              h
      2	      4		Keyword	            int
      2	      5		Keyword	           main
      2	      6		Special Symbols		  )
      4	      7		Keyword	            int
      4	      8		Variables	             a
      4	      9		Operators		       =
      4	     10		Digits		       5
      5	     11		Keyword	           int
      5	     12		Variables	             b
      5	     13		Digits		       6
      6	     14		Keyword	           int
      6	     15		Variables	           sum
      6	     16		Variables	             a
      6	     17		Variables	             b
      7	     18		Variables	        printf
      7	     19		Variables	             d
      7	     20		Variables	           sum
